title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Marvel's Guardians of the Galaxy (Series),TV Show,2015,Action-Adventure | Animation | Kids,Disney+,TV-Y7,7.2,3816.0,CA,tt4176370
Marvel's Guardians of the Galaxy (Shorts),TV Show,2014,Action-Adventure | Animation | Kids,Disney+,TV-Y7,,,,
Marvel's Hero Project,TV Show,2019,Docuseries | Family,Disney+,TV-PG,6.7,183.0,AU,tt10163846
Marvel's Inhumans,TV Show,2017,Action-Adventure | Science Fiction | Superhero,Disney+,TV-14,4.9,30491.0,TH,tt4154858
Marvel's Rocket & Groot (Shorts),TV Show,2016,Action-Adventure | Animation | Buddy,Disney+,TV-Y7,,,,
Marvel's Ultimate Comics,TV Show,2016,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,5.7,157.0,BR,tt6343290
Mary Poppins,Movie,1964,Family | Fantasy | Musical,Disney+,G,7.8,195289.0,US,tt0058331
Mater and the Ghostlight,Movie,2006,Animation | Comedy | Family,Disney+,TV-Y7,,,,
Meet the Deedles,Movie,1998,Buddy | Comedy,Disney+,PG,4.1,3323.0,AU,tt0120645
Meet the Robinsons,Movie,2007,Action-Adventure | Animation | Family,Disney+,G,6.8,119222.0,SG,tt0396555
Melody Time,Movie,1948,Animation | Anthology | Family,Disney+,TV-PG,6.1,7621.0,AU,tt0040580
Mickey Down Under,Movie,1948,Animation | Comedy | Family,Disney+,TV-G,,,,
Mickey Mouse (Shorts),TV Show,2012,Animation | Kids,Disney+,TV-G,8.1,4310.0,JP,tt2768802
Mickey Mouse Club (1955-59),TV Show,1955,Family | Variety,Disney+,TV-PG,7.5,925.0,MX,tt0047757
"Mickey, Donald, Goofy: The Three Musketeers",Movie,2004,Action-Adventure | Animation | Family,Disney+,G,,,,
Mickey's Birthday Party,Movie,1942,Animation | Comedy | Family,Disney+,TV-G,,,,
Mickey's Christmas Carol,Movie,1983,Animation | Comedy | Family,Disney+,G,,,,
Mickey's Delayed Date,Movie,1947,Animation | Comedy | Family,Disney+,TV-G,,,,
